地点ID,都道府県,地点名
40046,茨城県,北茨城
40061,茨城県,大子
40091,茨城県,常陸大宮
40136,茨城県,日立
40191,茨城県,笠間
40201,茨城県,水戸
40221,茨城県,古河
40231,茨城県,下館
40281,茨城県,下妻
40311,茨城県,鉾田
40336,茨城県,つくば
40341,茨城県,土浦
40406,茨城県,鹿嶋
40426,茨城県,龍ケ崎
41011,栃木県,那須高原
41076,栃木県,五十里
41091,栃木県,黒磯
41116,栃木県,土呂部
41141,栃木県,大田原
41166,栃木県,奥日光
41171,栃木県,今市
41181,栃木県,塩谷
41247,栃木県,那須烏山
41271,栃木県,鹿沼
41277,栃木県,宇都宮
41331,栃木県,真岡
41361,栃木県,佐野
41376,栃木県,小山
42046,群馬県,藤原
42091,群馬県,みなかみ
42121,群馬県,草津
42146,群馬県,沼田
42186,群馬県,中之条
42221,群馬県,田代
42251,群馬県,前橋
42266,群馬県,桐生
42286,群馬県,上里見
42302,群馬県,伊勢崎
42326,群馬県,西野牧
42366,群馬県,館林
42396,群馬県,神流
43051,埼玉県,寄居
43056,埼玉県,熊谷
43126,埼玉県,久喜
43156,埼玉県,秩父
43171,埼玉県,鳩山
43241,埼玉県,さいたま
43256,埼玉県,越谷
43266,埼玉県,所沢
44046,東京都,小河内
44056,東京都,青梅
44071,東京都,練馬
44112,東京都,八王子
44116,東京都,府中
44132,東京都,東京
44136,東京都,江戸川臨海
45061,千葉県,我孫子
45081,千葉県,香取
45106,千葉県,船橋
45116,千葉県,佐倉
45147,千葉県,銚子
45181,千葉県,横芝光
45212,千葉県,千葉
45261,千葉県,茂原
45282,千葉県,木更津
45291,千葉県,牛久
45326,千葉県,坂畑
45361,千葉県,鴨川
45371,千葉県,勝浦
45401,千葉県,館山
46091,神奈川県,海老名
46106,神奈川県,横浜
46141,神奈川県,辻堂
46166,神奈川県,小田原
46211,神奈川県,三浦
48031,長野県,野沢温泉
48061,長野県,信濃町
48066,長野県,飯山
48141,長野県,白馬
48156,長野県,長野
48191,長野県,大町
48196,長野県,信州新町
48216,長野県,菅平
48256,長野県,上田
48296,長野県,穂高
48321,長野県,東御
48331,長野県,軽井沢
48361,長野県,松本
48381,長野県,立科
48386,長野県,佐久
48466,長野県,奈川
48491,長野県,諏訪
48531,長野県,開田高原
48541,長野県,木曽平沢
48546,長野県,辰野
48561,長野県,原村
48571,長野県,野辺山
48606,長野県,木曽福島
48621,長野県,伊那
48717,長野県,南木曽
48731,長野県,飯島
48767,長野県,飯田
48826,長野県,浪合
48841,長野県,南信濃
49036,山梨県,大泉
49086,山梨県,韮崎
49142,山梨県,甲府
49151,山梨県,勝沼
49161,山梨県,大月
49196,山梨県,古関
49236,山梨県,切石
49251,山梨県,河口湖
49256,山梨県,山中
49316,山梨県,南部
50106,静岡県,井川
50136,静岡県,御殿場
50196,静岡県,富士
50206,静岡県,三島
50226,静岡県,佐久間
50241,静岡県,川根本町
50261,静岡県,清水
50281,静岡県,網代
50331,静岡県,静岡
50386,静岡県,天竜
50456,静岡県,浜松
50476,静岡県,菊川牧之原
50491,静岡県,松崎
50506,静岡県,稲取
50536,静岡県,磐田
50551,静岡県,御前崎
50561,静岡県,石廊崎
51031,愛知県,愛西
51071,愛知県,稲武
51106,愛知県,名古屋
51116,愛知県,豊田
51216,愛知県,大府
51226,愛知県,岡崎
51247,愛知県,新城
51281,愛知県,蒲郡
51311,愛知県,南知多
51331,愛知県,豊橋
51346,愛知県,伊良湖
52041,岐阜県,河合
52051,岐阜県,神岡
52081,岐阜県,白川
52111,岐阜県,栃尾
52146,岐阜県,高山
52181,岐阜県,六厩
52196,岐阜県,宮之前
52221,岐阜県,長滝
52286,岐阜県,萩原
52331,岐阜県,八幡
52346,岐阜県,宮地
52381,岐阜県,樽見
52406,岐阜県,金山
52461,岐阜県,美濃
52482,岐阜県,黒川
52511,岐阜県,揖斐川
52536,岐阜県,美濃加茂
52556,岐阜県,恵那
52557,岐阜県,中津川
52571,岐阜県,関ケ原
52581,岐阜県,大垣
52586,岐阜県,岐阜
52606,岐阜県,多治見
53041,三重県,桑名
53061,三重県,四日市
53091,三重県,亀山
53112,三重県,上野
53133,三重県,津
53196,三重県,小俣
53231,三重県,粥見
53257,三重県,鳥羽
53296,三重県,南伊勢
53326,三重県,紀伊長島
53378,三重県,尾鷲
53401,三重県,熊野新鹿
54012,新潟県,粟島
54041,新潟県,弾崎
54086,新潟県,村上
54157,新潟県,相川
54166,新潟県,両津
54181,新潟県,中条
54191,新潟県,下関
54232,新潟県,新潟
54271,新潟県,羽茂
54296,新潟県,新津
54341,新潟県,巻
54387,新潟県,寺泊
54396,新潟県,三条
54421,新潟県,津川
54501,新潟県,長岡
54541,新潟県,柏崎
54566,新潟県,守門
54586,新潟県,大潟
54616,新潟県,小出
54651,新潟県,高田
54661,新潟県,安塚
54676,新潟県,十日町
54711,新潟県,糸魚川
54721,新潟県,能生
54816,新潟県,関山
54836,新潟県,津南
54841,新潟県,湯沢
55022,富山県,朝日
55041,富山県,氷見
55056,富山県,魚津
55091,富山県,伏木
55102,富山県,富山
55141,富山県,砺波
55166,富山県,上市
55191,富山県,南砺高宮
55206,富山県,八尾
56036,石川県,珠洲
56052,石川県,輪島
56116,石川県,志賀
56146,石川県,七尾
56176,石川県,羽咋
56186,石川県,かほく
56227,石川県,金沢
56276,石川県,小松
56286,石川県,白山河内
56301,石川県,加賀菅谷
57001,福井県,三国
57051,福井県,越廼
57066,福井県,福井
57082,福井県,勝山
57121,福井県,大野
57206,福井県,今庄
57248,福井県,敦賀
57286,福井県,美浜
57317,福井県,小浜
60051,滋賀県,今津
60061,滋賀県,長浜
60102,滋賀県,米原
60116,滋賀県,南小松
60131,滋賀県,彦根
60196,滋賀県,東近江
60216,滋賀県,大津
60226,滋賀県,信楽
60236,滋賀県,土山
61001,京都府,間人
61076,京都府,宮津
61111,京都府,舞鶴
61187,京都府,福知山
61206,京都府,美山
61242,京都府,園部
61286,京都府,京都
61326,京都府,京田辺
62016,大阪府,能勢
62046,大阪府,枚方
62078,大阪府,大阪
62081,大阪府,生駒山
62091,大阪府,堺
62131,大阪府,熊取
63016,兵庫県,香住
63051,兵庫県,豊岡
63071,兵庫県,兎和野高原
63121,兵庫県,和田山
63201,兵庫県,生野
63216,兵庫県,柏原
63251,兵庫県,一宮
63321,兵庫県,福崎
63331,兵庫県,西脇
63366,兵庫県,上郡
63383,兵庫県,姫路
63411,兵庫県,三田
63461,兵庫県,三木
63491,兵庫県,家島
63496,兵庫県,明石
63518,兵庫県,神戸
63551,兵庫県,郡家
63571,兵庫県,洲本
63588,兵庫県,南淡
64036,奈良県,奈良
64041,奈良県,針
64101,奈良県,大宇陀
